Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF-C,24,TOT,64,18,22.8,3.4,6.7,.502,0.4,1.4,.275,3.0,5.3,.564,.532,1.0,1.6,.610,2.7,4.1,6.8,1.4,0.7,1.0,1.2,1.9,8.1
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
1,Precious Achiuwa,PF,24,NYK,39,18,26.2,3.5,6.6,.531,0.3,1.1,.273,3.2,5.5,.584,.554,1.0,1.6,.635,3.1,4.5,7.7,1.2,0.7,1.3,1.2,2.1,8.4
2,Bam Adebayo,C,26,MIA,61,61,34.4,7.6,14.7,.518,0.1,0.4,.320,7.5,14.3,.523,.522,4.3,5.8,.753,2.3,8.3,10.6,3.9,1.1,1.0,2.3,2.3,19.7
3,Ochai Agbaji,SG,23,TOT,71,22,20.5,2.3,5.6,.415,0.9,2.8,.305,1.5,2.7,.528,.492,0.4,0.6,.667,0.9,1.8,2.7,1.0,0.6,0.5,0.8,1.4,5.9
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
3,Ochai Agbaji,SG,23,TOR,20,12,22.5,2.9,7.3,.397,0.7,2.9,.241,2.2,4.4,.500,.445,0.7,1.1,.591,1.5,1.9,3.4,1.3,0.8,0.5,1.0,1.8,7.2
4,Santi Aldama,PF,23,MEM,59,33,26.6,4.1,9.5,.436,1.8,5.0,.351,2.4,4.5,.532,.530,0.9,1.5,.621,1.2,4.7,5.9,2.3,0.7,0.9,1.2,1.4,10.9
5,Nickeil Alexander-Walker,SG,25,MIN,71,19,23.6,2.7,6.3,.433,1.5,3.9,.382,1.2,2.4,.518,.552,0.6,0.8,.800,0.5,1.6,2.1,2.5,0.8,0.5,0.9,1.8,7.6
6,Grayson Allen,SG,28,PHO,66,66,33.7,4.5,8.8,.509,2.8,5.8,.479,1.7,3.0,.565,.666,1.7,2.0,.884,0.6,3.2,3.8,3.1,0.9,0.6,1.3,2.2,13.5
7,Jarrett Allen,C,25,CLE,67,67,31.7,6.5,10.4,.627,0.0,0.1,.000,6.5,10.3,.632,.627,3.2,4.2,.746,3.2,7.5,10.7,2.7,0.7,1.1,1.6,2.0,16.2
8,Jose Alvarado,PG,25,NOP,51,0,17.8,2.5,6.1,.408,1.3,3.5,.371,1.2,2.6,.458,.515,0.7,1.0,.680,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.5,6.9
9,Kyle Anderson,PF,30,MIN,68,10,22.9,2.6,5.5,.468,0.1,0.6,.225,2.4,4.9,.497,.480,1.3,1.8,.711,0.8,2.8,3.6,4.2,0.9,0.5,1.2,1.6,6.5
10,Giannis Antetokounmpo,PF,29,MIL,67,67,35.1,11.5,18.7,.614,0.5,1.7,.293,11.0,16.9,.647,.628,7.2,10.9,.660,2.7,8.8,11.4,6.4,1.2,1.0,3.5,2.9,30.6
11,Thanasis Antetokounmpo,PF,31,MIL,29,0,4.7,0.4,0.9,.500,0.0,0.0,.000,0.4,0.9,.520,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9
12,Cole Anthony,PG,23,ORL,70,0,23.0,4.1,9.5,.434,1.1,3.3,.321,3.0,6.1,.497,.491,2.4,3.0,.821,0.9,3.1,4.0,3.0,0.8,0.5,1.6,2.3,11.7
13,OG Anunoby,SF,26,TOT,44,44,34.0,5.7,11.5,.492,2.0,5.5,.371,3.7,6.1,.601,.580,1.5,2.0,.767,1.0,3.4,4.3,2.3,1.3,0.7,1.6,2.3,14.9
13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
13,OG Anunoby,SF,26,NYK,17,17,35.2,5.5,11.0,.497,1.6,4.5,.364,3.8,6.5,.591,.572,1.9,2.4,.825,1.1,3.9,4.9,1.6,1.7,1.1,1.6,2.4,14.5
14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0
